,animal,birthdate,genotype,recording,start,end,start_corr,cell,dt,angiotensin,potassium,pos,ctrl,TTA-P2,isra,mean_ca_burst,len_burst,mean_ca_baseline,len_baseline,percentage_time_baseline,percentage_time_burst
0,114001,2022-10-1,wt,230223_slice03_ttap2_isra_ctrl_results.csv,0,4450,2050,Mean1,0.1,0.0,4,1,y,0,0,940.4987424994838,47.6,816.4150294373646,192.4,80.16666666666666,19.833333333333332
1,114001,2022-10-1,wt,230223_slice03_ttap2_isra_ctrl_results.csv,4450,10450,8050,Mean1,0.1,100.0,4,2,y,0,0,850.6374254013616,34.7,758.6064323705938,205.3,85.54166666666667,14.458333333333334
2,114001,2022-10-1,wt,230223_slice03_ttap2_isra_ctrl_results.csv,10450,16450,14050,Mean1,0.1,100.0,4,3,y,0,0,823.5287720037563,92.4,726.7173067795072,147.6,61.5,38.5
3,114001,2022-10-1,wt,230223_slice03_ttap2_isra_ctrl_results.csv,16450,22450,20050,Mean1,0.1,500.0,4,4,y,0,0,865.3758643332599,238.70000000000002,894.4701978173871,1.4000000000000001,0.5833333333333334,99.45833333333334
4,114001,2022-10-1,wt,230223_slice03_ttap2_isra_ctrl_results.csv,0,4450,2050,Mean11,0.1,0.0,4,1,y,0,0,1021.9796320550817,15.9,929.977600438808,224.20000000000002,93.41666666666667,6.625
5,114001,2022-10-1,wt,230223_slice03_ttap2_isra_ctrl_results.csv,4450,10450,8050,Mean11,0.1,100.0,4,2,y,0,0,1017.150190507893,170.5,884.5239664829182,69.5,28.958333333333336,71.04166666666667
6,114001,2022-10-1,wt,230223_slice03_ttap2_isra_ctrl_results.csv,10450,16450,14050,Mean11,0.1,100.0,4,3,y,0,0,940.3984342921585,129.70000000000002,857.4896901522028,110.4,46.0,54.04166666666668
7,114001,2022-10-1,wt,230223_slice03_ttap2_isra_ctrl_results.csv,16450,22450,20050,Mean11,0.1,500.0,4,4,y,0,0,939.7731568997443,59.800000000000004,930.9920978405266,180.20000000000002,75.08333333333333,24.916666666666668
8,114001,2022-10-1,wt,230223_slice03_ttap2_isra_ctrl_results.csv,0,4450,2050,Mean12,0.1,0.0,4,1,y,0,0,1156.6213044297392,70.7,1007.219934980347,169.3,70.54166666666667,29.458333333333336
9,114001,2022-10-1,wt,230223_slice03_ttap2_isra_ctrl_results.csv,4450,10450,8050,Mean12,0.1,100.0,4,2,y,0,0,983.8747186218362,76.4,861.685204182222,163.60000000000002,68.16666666666667,31.833333333333336
10,114001,2022-10-1,wt,230223_slice03_ttap2_isra_ctrl_results.csv,10450,16450,14050,Mean12,0.1,100.0,4,3,y,0,0,960.3259651533763,130.4,860.7475273511862,109.60000000000001,45.66666666666667,54.333333333333336
11,114001,2022-10-1,wt,230223_slice03_ttap2_isra_ctrl_results.csv,16450,22450,20050,Mean12,0.1,500.0,4,4,y,0,0,964.0328746288766,240.10000000000002,,0,0.0,100.04166666666667
12,114001,2022-10-1,wt,230223_slice03_ttap2_isra_ctrl_results.csv,0,4450,2050,Mean13,0.1,0.0,4,1,y,0,0,1006.6225225818064,94.30000000000001,856.4837073442459,145.70000000000002,60.70833333333334,39.29166666666667
